dyadID,subjectID,pt_cond,emot_cond,exper,mainfeel_1_TEXT,mainfeel_2_TEXT,mainfeel_3_TEXT,expl,happy,symp,angry,compass,interest,disgust,mad,anxious,proud,down,worried,frust,sad,powerful,o_feel_1_TEXT,o_feel_2_TEXT,o_feel_3_TEXT,o_expl,thappy,tshock,hope,tangry,tselfanger,tinterest,tdisgust,tmad,tcurious,tafraid,tgrateful,tproud,tsurpr,tamused,tdown,tworried,tfrust,tsad,tembarrass,tguilty,tconfused,tpowerful,pleas,targag,othag,selfcirc,targpow,othpow,noonepow,sitcont,immoral,comm,o_pleas,o_selfag,o_otherag,o_sitag,o_selfpow,o_otherpow,o_noonepow,o_sitpow,o_immoral,o_comm,ssc,age,female,black,asian,latino,white,other,other_secify,mideast,natam,pacisl,mom_ed,dad_ed,expcomment,othernotes,noshow,inattention,metearly,suspicion,misunderstood,other,kneweachother,minorproblem,language
108,108-1,2,1,Gabi,Empathetic,Sad,Worried,I feel for the person who lost their project. It seems like everything that could have gone wrong did; even though the person did everything they could to prevent the loss of their project.,1,5,4,4,3,1,4,1,3,4,4,5,4,1,Anxious,Nervous,Upset,The writer wrote the email in short sentences saying that he doesn't have time; making me feel like he is anxious and inattentive; especially at his work. He's nervous that he won't finish and obviously upset about the loss of his hard work.,1,2,1,5,3,1,1,5,1,5,1,1,2,1,5,5,5,5,5,5,2,1,1,2,1,4,2,1,4,4,1,2,1,4,1,4,2,1,3,4,1,2,19,19,1,0,0,0,1,0,,0,0,0,7,3,,,0,0,0,0,0,0,0,0,0
109,109-2,1,2,Gabi,feel bad for the person,upset for the person,pity,,1,3,1,1,1,1,1,1,1,1,1,1,1,1,mad,angry,frustrated,,1,1,1,4,1,1,1,4,1,1,1,1,1,1,4,3,5,1,1,1,1,1,1,1,NA,2,2,5,1,1,5,3,1,1,5,5,1,5,1,1,5,3,20,20,1,0,1,0,0,0,,0,0,0,7,8,,,0,0,0,0,0,0,0,0,0
109,109-1,2,2,Gabi,Sympathy,Empathy,Fear,I feel afraid for Sam because I don't know what I would do either.,1,5,2,4,3,1,1,5,1,2,5,2,4,1,shock,betrayal ,fear/worry,,1,4,1,5,2,3,2,5,1,5,1,1,5,1,4,5,4,3,2,1,4,1,1,2,4,3,1,4,3,4,4,3,1,1,5,2,1,3,2,5,5,4,20,18,1,0,0,0,1,0,,0,0,0,8,8,,,0,0,0,0,0,0,0,0,0
110,110-1,2,1,Gabi,Sympathetic,Understanding,Empathetic,I can definitely understanding how frustrating and anxiety-producing that would be and wish I could do something for this person,1,5,1,5,3,1,1,4,1,4,4,2,4,1,Hard-working,Unlucky,Weak,They worked really hard on the project and it was simply bad luck that they lost all of their hard work but they appear to be a little weak because of how emotional they are in the email,1,4,1,3,2,1,1,5,1,3,1,1,3,1,5,5,5,5,2,2,2,1,1,1,1,5,1,1,5,5,1,1,1,3,2,5,2,2,4,4,2,1,20,20,1,0,0,0,1,0,,0,0,0,7,3,,,0,0,0,0,0,0,0,0,0
112,112-1,2,1,Gabi,sympathetic,understanding,compassionate,,1,4,1,4,2,1,1,3,1,2,3,1,3,1,Dispair,Disappointment,Fear,,1,4,1,2,3,1,1,3,1,4,1,1,2,1,5,5,4,5,2,2,2,1,1,1,1,1,2,1,3,3,1,1,1,3,1,4,3,1,2,3,1,1,19,18,1,0,1,0,1,0,,0,0,0,2,8,,,0,0,0,0,0,0,0,0,0
113,113-2,1,2,Gabi,symapthy,paitence,anxiety,I feel Sam's anxiety as it coming through in the email,1,4,2,4,4,1,3,3,1,1,3,2,1,1,anger,panic,exasperation,,1,4,1,4,2,1,4,4,1,1,1,1,3,1,2,2,5,1,1,1,3,1,1,2,3,1,2,3,1,1,3,3,1,1,5,1,2,5,1,1,5,3,21,19,1,0,0,0,1,0,,0,0,0,7,7,Thought with the email that you shouldn't jump to the conclusion that it was the other person's fault and that Lewis is going to another company. Would want to sit down with both the other person and the person who wrote the email and see what actually happened. (perhaps not putting the blame to the other person but the person who wrote the email instead?),,0,0,0,0,0,0,0,0,0
113,113-1,2,2,Gabi,this is a tricky situation,Lewis betrayed the company,Sam is writing casually,,1,3,2,5,3,4,4,1,1,2,1,3,1,1,worry,anger,confusion,,1,4,1,5,2,1,5,5,1,1,1,1,3,1,3,4,5,3,3,1,4,1,1,2,5,1,2,5,1,1,4,4,1,1,5,1,1,5,1,1,1,1,21,18,1,0,0,0,0,0,,1,0,0,7,8,,,0,0,0,0,0,0,0,0,0
114,114-1,2,1,Gabi,Confused,feel bad for Sam,worried ,I hope everything works out for Sam and that they don't get in too much trouble because they seem very upset and worried. ,1,5,1,4,4,1,1,4,1,3,1,2,3,1,Sad,worried ,Distraught ,,1,4,1,2,2,1,2,4,1,5,1,1,4,1,5,5,5,5,5,5,2,1,1,2,1,4,2,1,4,4,1,1,NA,4,1,4,3,1,1,2,2,1,22,18,1,0,0,0,1,0,,0,0,0,3,7,,,0,0,0,0,0,0,0,0,0
114,114-2,1,1,Gabi,Unsure,Sympathy,nervousness,I feel unsure because this email seems to potentially be exaggerated. I would like to know more about the situation/this person to see if this excuse is 100% true or not. I feel sympathy and nervousness because if this is really true this totally sucks for Sam and I would want to do anything I can to help.,1,3,1,1,4,1,1,3,1,2,3,3,3,2,Sorrow,Disappointment,Disbelief,,1,3,1,4,5,2,2,4,2,5,1,1,2,1,5,5,5,5,5,5,2,1,1,4,2,2,3,1,3,3,1,4,1,4,2,5,1,1,3,3,3,3,22,19,1,0,0,0,1,0,,0,0,0,7,8,said something about how she thought the study was about if you were either the manager or the entry level candidate you would fill out the survey differently--pretty close to the purpose of the study. she is a sophomore so perhaps has more experience with/knowledge of  psych studies,,0,0,0,1,0,0,0,0,0
115,115-1,2,2,Gabi,sympathy,confusion,indignation,,1,5,4,4,3,4,4,2,1,3,NA,4,3,1,anger,hurt,frustration,,1,5,1,5,2,2,4,5,2,3,1,2,5,1,4,5,5,4,2,2,2,1,1,3,4,3,2,5,1,1,5,4,1,3,5,1,2,5,2,2,5,3,22,19,1,0,0,0,1,0,,0,0,0,8,8,,,0,0,0,0,0,0,0,0,0
115,115-2,1,2,Gabi,Concerned,Sympathetic,Understanding,This is only one side of the story; but it makes sense for Sam to feel the way he/she does. The important part of my role is to calm Sam down and work to devise a plan that will ensure that the campaign project is completed.,1,4,1,4,4,1,1,1,1,1,2,1,1,2,Angry,Frustrated,Anxious,Sam is faced with an incomplete project; a quickly approaching deadline; perceived betrayal by a coworker; and strong competition. This leaves room for a range of negative emotions.,1,3,1,5,1,4,5,5,1,4,1,1,4,1,4,5,5,3,3,1,2,3,1,3,3,3,2,3,2,2,2,5,1,1,5,1,3,3,2,2,5,3,20,18,1,1,0,0,0,0,,0,0,0,8,8,,,0,0,0,0,0,0,0,0,0
116,116-2,1,2,Gabi,empathetic,,,,1,4,3,4,4,3,3,3,1,2,3,3,3,2,frustrated,angry,stressed,,1,3,1,4,1,2,4,4,1,3,1,1,2,1,3,4,4,3,2,1,2,1,1,1,4,3,1,4,2,2,4,3,1,1,5,2,1,4,2,2,5,2,20,18,1,1,0,0,0,0,,0,0,0,2,2,,,0,0,0,0,0,0,0,0,0
116,116-1,2,2,Gabi,intrigued,I want Sam to talk to Lewis,worried,,1,2,2,3,4,1,1,2,1,1,3,3,1,1,he needs to talk to Lewis,frustrated that he's not fixing it or confronting Lewis,worried about what he might do,,1,4,1,5,1,2,4,5,2,3,1,1,3,1,2,4,5,1,1,1,2,1,1,1,3,2,3,4,3,2,4,5,1,1,5,1,1,5,2,2,4,2,18,20,1,0,0,0,1,0,,0,0,0,8,7,,,0,0,0,0,0,0,0,0,0
118,118-1,2,1,Gabi,Sympathy,Determination,Suspicion,I am determined to help this person now or at least so what I can but at the same time; it is interesting that all of this happened to Sam in the same area of time.  For the computer hard drive to crash and the power to go out and fry the flash drive is unfortunate and could just be coincidence but at the same time there is a possibility that Sam is hiding something. ,1,4,1,3,4,1,1,2,1,2,3,2,1,2,Nervousness,Sadness,Panic,"This person was feeling sad about losing the information for the marketing project and then Sam became nervous because of the upcoming deadline. Eventually this nervousness lead to more of a panic and Sam ended by mentioning the feeling of ""wanting to burst into tears."" This is not a happy person (at least not when Sam was writing this email). ",1,3,1,2,4,2,4,3,2,4,1,1,3,1,5,4,4,4,4,4,1,1,1,2,1,4,2,1,1,1,1,1,1,3,1,3,2,1,2,2,1,2,19,18,1,0,0,0,1,0,,0,0,0,8,8,,,0,0,0,0,0,0,0,0,0
120,120-2,1,1,Gabi,concern,wanting to help,frustrated for Sam,I feel concerned that Sam will not be able to finish the marketing project on time. I would like to find a way to help. I feel sympathetic and frustrated for Sam about the situation. ,1,3,1,3,1,1,1,3,1,1,3,3,1,1,frustrated,sad,helpless,,1,3,1,3,1,1,1,2,1,3,1,1,1,1,4,4,4,4,1,1,2,1,1,1,1,4,1,1,4,4,1,1,1,2,1,3,1,1,3,3,1,1,21,18,1,0,0,0,1,0,,0,0,0,7,8,,,0,0,0,0,0,0,0,0,0
120,120-1,2,1,Gabi,sympathy,want to help,concerned,I feel bad that this happened and I would like to help in any way possible or be there for Sam if he/she would like to talk. I'm also a bit concerned that this might be an elaborate excuse for not having the job done. Having both your work computer and all your home materials affected is a little fishy but I know that sometimes these things just happen.,1,4,1,4,4,1,1,1,1,2,3,2,3,1,frusterated,concerned,disappointed,I think that the reason Sam feels like he/she is going to cry is because of frustration for losing their project that they have been working so hard on and a bit disappointed in themselves because he/she doesn't think it'll be done now by the deadline.,1,3,1,2,2,1,1,1,1,3,1,1,2,1,4,4,4,4,3,3,2,1,1,1,1,4,1,2,4,4,1,1,1,4,1,3,4,1,2,2,1,1,17,18,1,0,0,0,1,0,,0,0,0,4,8,,,0,0,0,0,0,0,0,0,0
121,121-2,1,1,Gabi,Empathetic,Understanding,Anxious,,1,5,1,4,2,1,2,4,1,1,3,3,1,1,Distressed,Anxious,Panicked,,1,4,1,2,2,1,1,1,1,2,1,1,2,1,4,5,4,3,1,1,2,1,1,2,1,5,3,1,2,4,1,1,1,1,1,4,1,2,4,4,1,1,21,20,1,0,0,0,1,0,,0,0,0,8,8,,,0,0,0,0,0,0,0,0,0
122,122-1,2,2,Gabi,disbelief,angry,concerned,I am shocked that Lewis would send out information about the company he currently works at to a competing company. It is sad to me that he is doing this to further his career. It seems very selfish.,1,3,4,1,3,4,4,4,1,4,3,3,4,1,frustration,betrayal ,anger,,1,4,1,5,1,2,4,5,1,3,1,1,3,1,2,3,5,3,1,4,3,1,1,1,4,2,4,4,1,1,5,4,1,2,5,3,3,3,1,1,5,4,22,19,1,0,0,0,1,0,,0,0,0,7,8,,,0,0,0,0,0,0,0,0,0
123,123-1,2,1,Gabi,anxious,worried,distressed,If something like that happened to me I would be very upset.,1,2,4,1,3,1,4,5,1,2,5,5,3,1,frustrated,upset,panicked,The person who wrote the e-mail must have been very upset that all of their work was lost.,1,5,1,4,3,2,2,5,2,3,1,1,4,1,5,5,5,4,3,3,3,1,1,1,1,5,2,3,2,2,1,3,1,3,1,4,1,2,4,4,2,3,19,18,1,0,0,0,1,0,,0,0,0,8,3,,,0,0,0,0,0,0,0,0,0
124,124-1,2,1,Gabi,too personal,There are a lot of excuses.,No solutions presented.,,1,3,1,2,1,3,1,1,1,1,1,1,1,1,distress,frustration,hopelessness,They seemed to feel like everything was working against them and that they had hit rock bottom.,1,5,1,3,2,1,2,5,1,4,1,1,5,1,5,5,5,5,3,2,2,1,1,3,1,4,5,2,1,NA,1,2,1,1,1,5,1,3,2,2,1,1,21,19,1,0,0,0,1,0,,0,0,0,8,7,,,0,0,0,0,0,0,0,0,0
125,125-2,1,2,Gabi,,,,I feel bad for Sam because he put so much hard work in but the competitor company has the same idea and therefore Sam must start over. However; I am also trying to think ahead to whether or not the accusations are really true; even with the very damning evidence. I don't want to make any rash decisions so I am just thinking about what the next step to take will be. ,1,4,2,4,4,2,2,1,1,1,2,3,1,1,Anger ,Frustration,Exasperation ,,1,4,1,5,1,4,4,5,1,1,1,1,3,1,2,4,5,1,1,1,2,1,1,2,4,2,2,3,1,1,2,1,1,1,5,1,2,4,1,2,4,1,20,18,1,0,0,0,1,0,,0,0,0,8,8,,,0,0,0,0,0,0,0,0,0
126,126-1,2,2,Gabi,frustrated ,surprised,empathetic ,,1,5,3,3,4,4,4,3,1,2,5,5,2,1,Angry,Disgusted ,Betrayed ,,1,3,1,5,1,1,5,5,1,1,1,1,4,1,2,4,5,1,1,1,2,1,1,1,5,1,3,4,1,1,5,2,1,1,1,1,1,4,2,2,5,1,21,19,1,0,0,0,1,0,,0,0,0,8,7,,,0,0,0,0,0,0,0,0,0
127,127-2,1,2,Gabi,annoyance,concern,confusion,,1,2,2,2,3,1,2,2,1,1,3,3,1,2,angry,frustrated,busy,,1,4,1,4,1,1,5,4,2,2,1,1,4,1,2,4,4,4,2,2,3,3,1,1,3,3,3,3,3,2,1,2,1,1,5,1,2,5,2,1,4,1,19,19,1,0,0,0,1,0,,1,0,0,4,2,she said she thought the study was looking at how she read the email after being told she was a leader. she didn't direct the other participant to put he structure together correctly either; and got defensive when i asked if she needed help with the instructions.,,0,0,0,1,1,0,0,0,0
128,128-2,1,1,Gabi,sadness,sympathetic,somewhat uncaring,,1,4,1,3,1,1,1,1,1,3,4,2,4,1,disappointed,hopeless,depressed,,1,2,1,2,3,1,2,1,1,2,1,1,2,1,4,5,3,5,1,1,3,1,1,2,1,4,2,1,3,NA,2,2,1,1,1,4,2,1,4,4,3,1,17,19,1,0,0,0,1,0,,0,0,0,3,7,,,0,0,0,0,0,0,0,0,0
128,128-1,2,1,Gabi,sympathy,sadness,stress,,1,5,4,3,1,1,3,3,1,5,4,4,4,1,anxiety,sadness,stress,,1,2,2,2,2,1,1,2,1,1,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,5,1,1,5,5,2,1,1,4,1,4,4,1,2,2,4,1,21,19,1,0,0,0,1,0,,0,0,0,8,7,said she could relate to the email because losing all her work the day before had happened to her,,0,0,0,0,0,0,0,0,0
204,204-1,1,1,Brooklyn,sympathetic,want to help,focused/determined,I want to help the person in the email. I feel like their situation kept getting worse. I also feel determined to help them fix the problem.,1,4,1,5,4,1,1,2,1,3,3,2,2,2,flustered,frustrated,stressed,They seem very anxious about being able to complete their task within the deadline. Also they seem frustrated things were going wrong. ,1,3,1,2,2,5,1,3,1,1,1,1,1,1,2,4,5,2,2,1,1,1,1,2,1,3,4,3,2,2,1,2,1,4,1,2,2,2,3,2,1,2,19,18,1,0,0,0,1,0,,0,0,0,8,8,No comment.,,0,0,0,0,0,0,0,0,0
204,204-2,2,1,Brooklyn,sympathy,sadness,,,1,5,1,4,3,2,2,2,1,4,2,2,4,1,sadness,frustration,anger,,1,4,1,4,2,1,3,4,1,5,1,1,2,1,5,5,4,4,4,3,2,1,1,1,1,4,2,1,3,3,1,2,1,4,1,2,3,1,2,1,3,1,19,18,1,0,0,0,1,0,,0,0,0,7,8,No comment.,,0,0,0,0,0,0,0,0,0
205,205-1,2,2,Brooklyn,This feels like more of a personal email. ,It sounds a little harsh.,I also feel bad for Sam as well. ,I feel as if this email was a little bit more personal than it was professional. Sam had expressed multiple feelings that shouldn't have been shared with a coworker. ,1,3,2,3,3,1,1,1,1,1,1,3,1,1,Upset,Betrayed,Angry,,1,5,3,5,3,1,5,5,3,4,1,1,5,1,4,5,5,4,4,2,4,1,1,1,3,1,3,3,1,1,4,4,1,2,5,1,2,2,1,1,5,3,18,19,1,1,0,0,0,0,,0,0,0,3,7,Participant was did not follow my directions very well (English is her first language); she kept trying to start the survey and I had to repeatedly tell her not to start the survey.  When I entered the room after looking at the questionnaires; it appeared as though she was putting her phone back in her purse.  ,,0,1,0,0,0,0,0,0,0
205,205-2,1,2,Brooklyn,Anger,Confusion,Determination,I'm angry that someone would do this to their project partner and that they would betray their company and partner like this. I'm confused as to how this other person came across this mistake and why it's just now coming to light that this is happening. I'm determined because I think that this person (Sam) is going to need help to make this right; and that I need to figure out what to do with Lewis while simultaneously helping to complete this project.,1,3,5,2,5,5,5,4,1,2,4,5,1,3,Anger,Overwhelmed,Irritated,"I think ""Sam"" is feeling very irritated and angry about what Lewis did. They are frustrated that they just found out about this and that their partner; who they've been working with for months; basically betrayed them. At the same time as all this anger and frustration; I think that Sam is feeling very overwhelmed. They now have to fix what Lewis ""ruined"" in two days and also deal with the fact that their partner betrayed them. ",1,4,1,5,2,3,5,5,2,3,1,1,3,1,2,4,5,1,4,1,4,1,1,2,5,1,2,5,2,1,5,4,1,1,5,1,2,5,1,3,5,2,17,18,1,0,0,1,1,0,,0,0,0,7,3,No comment.,,0,0,0,0,0,0,0,0,0
207,207-2,2,2,Brooklyn,upset,dissapointed,curious,these feelings are more directed towards Lewis's actions,1,2,3,5,5,4,4,3,4,2,5,4,3,2,happy,sympathetic,proud,,1,5,1,5,3,1,4,5,2,4,1,1,5,1,4,4,5,4,3,4,3,1,1,2,2,3,3,1,2,3,4,4,1,4,3,3,2,4,1,2,5,4,20,19,1,0,0,0,1,0,,0,0,0,7,3,Participant thought that because she was in a lower power position; she was able to have a better understanding of the email.  She did not know that this was what we were researching.,,0,0,0,0,0,0,0,0,0
208,208-1,2,1,Brooklyn,sympathy,anxiety,empathy,I feel like I want to help Sam because I know what it feels like to have bad day. ,1,5,2,3,2,1,1,5,1,3,4,2,2,1,despair,frustrastion,hopelessness ,,1,2,1,3,4,1,2,3,1,2,1,1,2,1,5,4,5,5,3,2,2,1,1,4,2,3,2,2,1,2,1,2,1,3,3,3,4,3,2,3,1,2,21,19,1,0,1,0,1,0,,0,0,0,8,8,No comment,,0,0,0,0,0,0,0,0,0
209,209-2,1,2,Brooklyn,frustration,a little bit of empathy,curiosity,frustration with the situation; but also in the slightly unprofessional way the e-mail has been written; empathy because this guy is now put into a really tough position; curiosity because I want to find Lewis and get his side of the story; so as to make a better judgement of weather or not he actually did give details for the campaign away. The feeling I feel most strongly is curiosity about the truth in the situation. ,1,4,4,3,5,4,4,3,1,3,4,5,2,2,Frustration ,Helplessnes,Anger,These feelings all revolve around the fact that this situation is now out of his control; despite the hard work he has put into it.,1,5,1,5,3,5,5,5,1,2,1,1,3,1,4,5,5,4,4,1,4,1,1,2,4,1,4,4,1,1,5,3,1,3,5,5,1,5,2,2,5,3,21,18,1,0,0,0,1,0,,0,0,0,8,8,This participant laughed when I told her that she would be best suited for the manager position--during the debrief she told me that she was not at all qualified for the position and that she thought that the experiment was about gender roles in business; specifically with female managers and male employees.  / She gave painfully poor directions to the other participant and it was clear that she was very nervous about being manager.  The other participant was asking several questions to make her poor directions more clear.  It seemed as though she felt more low power than the other participant while the other person seemed more high power.  There was a tension between the participant because of the poor directions.,,0,0,0,0,0,1,0,0,0
210,210-1,2,1,Brooklyn,pity,concern,confusion,,1,4,1,3,3,1,1,2,1,2,3,2,2,1,mad,sad,overwhelmed,,1,5,1,3,1,1,3,3,1,4,1,1,4,1,3,4,5,5,2,1,4,1,1,1,1,4,1,1,4,4,1,1,1,2,1,5,2,1,2,2,2,1,21,18,1,0,0,0,1,0,,0,1,0,7,7,No comment,,0,0,0,0,0,0,0,0,0
211,211-1,2,2,Brooklyn,worry,concern,confused,,1,5,2,4,4,1,1,3,1,2,3,3,1,2,anger,betrayal,anxious,,1,2,1,4,1,3,5,5,2,3,1,1,3,1,2,3,3,2,2,1,3,1,1,2,4,2,2,3,1,1,3,5,1,1,5,1,1,5,1,NA,5,1,19,19,1,0,0,0,0,0,,1,0,0,7,3,No comment,,0,0,0,0,0,0,0,0,0
212,212-2,2,1,Brooklyn,Concern,Empathy,Anxiety,,1,5,1,4,3,1,1,4,1,1,4,1,2,1,Frantic,Depressed,Disappointed,,1,3,1,2,4,4,1,2,1,5,1,1,1,1,5,5,2,4,4,4,3,1,2,2,1,4,2,1,4,5,1,2,1,5,1,5,1,1,5,5,1,1,20,19,1,0,0,0,1,0,,0,0,0,7,8,Participant was shocked that this was not about workplace behavior.,,0,0,0,0,0,0,0,0,0
213,213-1,2,1,Brooklyn,sympathy,,,,1,5,1,4,3,1,1,1,1,2,2,1,3,1,worried,panicked,overwhelmed,,1,3,1,1,1,2,2,1,1,3,1,1,3,1,5,5,3,4,2,2,2,1,1,1,1,5,2,1,4,4,1,1,1,1,1,5,1,1,5,5,1,1,22,19,1,0,0,0,1,0,,0,0,0,2,3,no comment,,0,0,0,0,0,0,0,0,0
214,214-2,1,1,Brooklyn,sympathetic ,annoyed ,questioning ,I feel sympathetic for Sam because I can relate to the feeling that occurs when an important document is lost.  He also seems sincerely distraught over losing this project; and seems to have put a lot of time into it. On the other hand; I'm feeling slightly annoyed because I'm not sure if I am Sam's boss; coworker; friend; spouse; etc and knowing this would greatly help me decide my emotions towards this email.  Lastly; I question this email because there is no proof that he lost his whole project or even had it done besides his written word. ,1,5,2,2,3,1,2,4,1,2,3,3,2,1,he is not in control of his emotions ,he is really down on his luck,he is probably too distraught to address his email with a name ,,1,2,1,2,1,1,1,3,1,3,1,1,3,1,5,5,3,5,1,1,2,1,1,2,1,4,2,1,2,3,1,2,1,1,1,5,1,1,5,5,4,1,21,18,1,0,0,0,1,0,,0,0,0,8,7,no comment,,0,0,0,0,0,0,0,0,0
214,214-1,2,1,Brooklyn,terrible,pity ,sadness ,I feel like I can relate to this person; because as a stressed college student; I feel like I kind of understand their pain; frustration; and helplessness. ,1,5,1,2,1,2,2,3,1,4,5,3,5,1,Frustration,Helplessness,Stressed,,1,2,1,4,5,1,5,4,1,4,1,1,1,1,5,5,5,5,5,5,4,1,1,2,1,4,2,2,3,3,2,2,1,4,1,5,3,1,4,5,2,1,19,19,1,0,1,0,0,0,,0,0,0,7,8,no comment,,0,0,0,0,0,0,0,0,0
216,216-2,1,2,Brooklyn,Mutual frustration,Worry,Compassion,Mutual frustration as in I can picture how frustrating and annoying that would be; worry because it sounds like a stressful situation for him; and compassion because I understand that his concerns are very legitimate,1,5,2,3,4,5,2,2,2,2,3,3,2,1,Despair,Confusion,Frustration,Despair because he's in such a bind and at such a loss of what to do; confusion because he really doesn't know what's going on; and frustration because there's no easy way to resolve this,1,3,1,5,2,4,4,5,2,4,1,1,3,1,5,5,5,4,2,2,4,1,1,2,5,1,1,5,2,1,5,3,1,2,5,1,2,4,2,2,3,1,21,19,1,0,1,0,1,0,,0,0,0,8,8,,,0,0,0,0,0,0,0,0,0
