SubjectID,IPAddress,empty,duplicate,StartDate,EndDate,testruns,powcond,emptyappraisals,prime_prob,hp_exp,lp_exp,emocond,happy,symp,angry,comp,sad,interest,mad,anxious,proud,down,worried,frustrated,ohappy,oangry,osad,ointerest,omad,oanxious,oproud,odown,oworried,ofrust,pleas,tresp,oresp,sresp,tpow,opow,noonepow,sitpow,immoral,age,gender,female,income,education,black,mideast,asian,white,latino,natam,pacisl,other,other_specify,other_tell,sim_hit,comments,suspicion
R_2OOwKAc8x1IN9wU,73.147.187.226,0,0,7/14/15 7:54,7/14/15 8:02,0,-1,0,0,,One time; as I was letting my dog out to pee; I locked myself out of the house. I had no shoes; no bra; was wearing a sweater and some boxer shorts. I didn't have my phone; and it was 1 in the morning. My roommate was out of town and I didn't know any of my neighbours. I was in a metropolitan area with some unsavory elements. I waited on my stoop until the sun started to come up... and then I began to walk; barefoot; to my boyfriend's apartment. It was about 2 miles. THankfully I had my dog. I have never felt so powerless as to help myself out of a situation; I had no good options.,-1,10,70,28,66,53,77,38,76,35,53,74,76,16,98,83,53,75,83,29,82,100,84,0,3,4,97,7,3,97,93,63,32,f,female,3,5,0,0,0,1,0,0,0,0,,,no,0,0
R_2s5P7MyftOb0IaI,67.48.124.219,0,1,8/13/15 19:31,8/13/15 19:34,0,1,0,0,i can't think of a time when some has had power over me ,,1,40,21,35,31,47,44,28,45,32,33,36,33,40,34,40,43,40,39,40,43,47,40,40,51,42,47,45,52,46,46,46,37,f,female,3,2,0,0,0,1,0,0,0,0,,nonthing ,dont think so ,0,0
R_D2BxuVHiOQAkjT3,72.43.89.66,0,0,7/14/15 9:17,7/14/15 9:19,0,1,0,0,I had power over others when I was interviewing people for a job. I felt powerful because they were really trying to impress me,,-1,45,60,56,58,60,60,55,58,58,58,60,57,58,59,59,64,61,60,59,62,61,59,56,48,48,57,54,55,48,55,47,23,f,female,4,5,0,0,0,1,0,0,0,0,,,,0,0
R_2fy5xDTzGemMRsU,174.31.46.76,0,0,8/13/15 19:18,8/13/15 19:32,0,-1,0,0,,I worked on a job; that a person had the power to cause me to fail or advance.  The person was obnoxious and hard to get along with.  I found it very hard to be nice to the person.  I guess I did okay because I did get to advance.,1,15,89,88,82,89,80,90,51,11,61,42,89,10,81,75,77,90,80,16,90,76,84,13,10,83,15,12,71,12,16,92,74,femaile,female,2,4,0,0,0,1,0,0,0,0,,it was interesting,I have done some that you had to tell about an experience but that was as far as the likeness went.,0,0
R_3kLO5kHHlS2mfeN,108.16.128.233,0,0,7/14/15 7:22,7/14/15 7:35,0,-1,0,0,,I once worked for someone who was a control addict. They were so afraid that I was going to outshine them that they undermined me whenever they had the chance. Instead of me being my open; helpful and curious self - I was always afraid to speak up for fear that I would be made a fool for my ideas. I was always figuratively looking over my shoulder. I was always anxious while on the job.,-1,1,98,1,93,58,64,1,6,1,1,2,98,0,76,95,97,76,100,1,96,76,100,2,46,0,91,53,1,51,52,17,29,femal,female,6,6,0,0,0,1,0,0,0,0,,no,Not exactly,0,0
R_2q9jHZ0ECXdqmQT,45.48.192.67,0,0,8/13/15 19:10,8/13/15 19:16,0,1,0,0,A few months ago; I got a job promotion. I felt like I was in power because I was finally able to manage people. After getting the promotion; my coworkers treated me differently. They listened to what I had to say and did their job in a timely manner. One example; one coworker asked me for a day off. I was able to grant it to her because she had a reasonable excuse. Prior to getting a promotion; I wouldn't be able to do these things. I felt like I had some status in the company. ,,1,0,90,82,90,72,73,67,36,6,26,47,69,0,94,33,0,94,47,0,43,45,82,2,29,81,61,16,86,13,13,96,28,female,female,3,4,0,0,1,0,0,0,0,0,,I do not have anything else to add,Yes but the questions after the prompt were different,1,0
R_1mvYQUAzlaBtwQt,98.26.8.231,0,0,8/13/15 19:44,8/13/15 19:51,0,1,0,0,At my last job I was in charge of assigning work from one of our main clients to a list of freelancers we had on call. It was my job to assess who could get each job done the quickest with the fewest errors. I'd review work samples from time to time to make sure no one was skimping on the jobs; and if I found things weren't up to par; I could assign that person less (or no) work in the future.,,-1,0,85,0,82,0,54,0,7,0,0,8,21,0,56,100,90,82,84,0,100,84,94,2,43,57,41,59,6,83,34,3,32,Female,female,3,5,0,0,0,1,0,0,0,0,,thank you!,Yes; I have answered that prompt several times in studies in the last year.,1,0
R_3h5E12lPeDROjjO,66.61.2.205,0,0,7/14/15 8:08,7/14/15 8:14,0,1,0,0,"At my previous job; I was entrusted to interview and decide upon temporary employees to fill a position.  I was proud of myself for gaining the trust of my employer who allowed me to make these important decisions.  I was also responsible for ""tracking"" the progress of the temporary employees and had the ability to tell my employer whether we should keep the temp on board or let them go.",,1,0,7,16,4,80,70,51,5,52,50,10,28,0,100,96,54,100,100,0,91,100,100,9,91,19,12,89,57,24,17,95,32,female,female,5,5,0,0,0,1,0,0,0,0,,No,No,0,0
R_1CC73IPzE3Aa17l,50.165.97.171,0,0,8/13/15 19:19,8/13/15 19:26,0,1,0,0,I am a lead at my work so have a power to tell people what to do when they are not busy. I can assign tasks to them and they are expected to complete them even if they don't really want to do them. It feels good to be able to delegate some of the work and expect help from others; even if they are told to help rather than just offering help.,,-1,0,21,0,2,1,0,0,0,0,0,0,0,0,2,75,0,0,18,0,19,36,38,8,57,48,62,37,49,50,49,51,34,female,female,6,6,0,0,0,1,0,0,0,0,,No,No,0,0
R_2eXyGbZDZHBeNxA,98.155.2.118,0,0,8/13/15 19:27,8/13/15 19:38,0,1,0,0,I am a Zumba instructor and I started out as a sub at one studio.  They didn't want to make room for me to teach my own class; so I went to another place.  The people at the original place went out of business; and I was moving away; so the instructors at the original place came to me and asked if they could take over my Zumba class.  The place where I was working basically didn't know who to hire when I left and would have taken my word on whether to hire them or not to replace me.  I could have held a grudge against them for turning me away.  I actually felt very awkward about this because the original place had 3 instructors and there was some interpersonal drama going on.  But since I was moving I decided not to let it stress me out that much; and not to hold grudges.  It felt pretty good to be in a stable position where I had more power than they did after going out of business.  It also felt good to be in a position of respect and authority where my boss would hire or dismiss them at my word.  But in the end I let them co-teach with me (without paying them) and then told my boss to hire them.,,-1,0,0,67,25,0,10,55,0,0,0,8,100,0,67,93,80,64,100,0,93,100,81,19,100,0,30,87,5,35,29,0,31,female,female,2,5,0,0,0,1,0,0,0,0,,,no,0,0
R_1FtRHrSszKqoCck,114.111.198.2,0,0,7/14/15 8:43,7/14/15 8:46,0,1,0,0,I had to supervise my group at work; they all had to report to me and listen to what I had to say.,,1,0,57,0,48,0,0,0,0,0,0,0,0,0,35,0,0,0,77,0,18,31,54,3,25,11,25,50,50,50,50,50,20,female,female,6,3,0,0,0,1,0,0,0,0,,no,no,0,0
R_O8x0mYxTG9sDej7,174.25.8.190,0,0,8/13/15 19:35,8/13/15 19:43,0,1,0,0,I often had power over others when it came to my previous job. Due to my job duty I had the ability to evaluate their performance and abilities. This could both help and hinder their ability to retain a job at the company. Poor performance could and in many instances did result in termination of employment. Holding power can often be troublesome. It is difficult to let people go when you admire other characteristics about them. Poor job performance is key to losing a coveted position though.,,1,0,99,0,90,0,0,0,0,22,53,0,0,0,100,100,0,100,54,0,100,77,100,0,22,92,24,24,82,20,33,85,28,female,female,3,5,0,0,0,1,0,0,0,0,,interesting study,no,0,0
R_3nUjh73wJoumaqt,66.31.200.171,0,0,7/14/15 7:23,7/14/15 7:29,0,1,0,0,I ran the Refreshments Committee for our school. movie theatre. This meant I was in charge of training and supervising my staff; and I particularly remember training one girl.  In order to be approved to run nights on their own I have to pass them; and it's a long process.  It was stressful; on the one hand I held power; but mostly I had responsibility.  I had to force myself; night after night; to watch her work and not jump in to help or correct her too fast - there's a fine balance where I had to ensure she could get by and correct mistakes solo; allow her to deviate from my preferences in things that don't matter; and let her do everything so I know she knows.,,1,0,89,88,97,59,82,95,5,0,2,0,95,0,97,4,36,94,93,8,60,51,80,2,45,85,54,81,67,32,41,99,31,female,female,1,5,0,0,0,1,0,0,0,0,,no,yes,0,0
R_3R9EGCT6on0SOGo,97.88.73.246,0,0,7/14/15 7:32,7/14/15 7:44,0,1,0,0,I used to be I manager at a convienence store.  I had about ten employees under me on an average.  Every year I would have to fill out evaluations on them.  I didn't like that part of the job; and it was very stressful.  If I had to write something negative about a person I knew was basically good; I would have to struggle with so guilt; because I knew it could affect how much of a raise that person got.,,1,0,51,10,50,25,52,12,25,0,10,24,12,0,100,51,85,100,84,86,52,83,100,7,21,83,76,24,77,50,50,67,55,female,female,1,3,0,0,0,1,0,0,0,0,,no,no,0,0
R_3Q02aTbS7KuSDHB,70.185.98.212,0,0,7/14/15 7:45,7/14/15 7:55,0,1,0,0,I used to work as an assistant manager at a retail store. There were two younger people I was in charge of. They wanted more hours to work at the store. I had the ability to give them more hours but I had to sacrifice my own to give them to them. I felt like I wanted to be kind and give them the hours; but I also felt like they had accepted their jobs knowing that they would only get a certain amount of hours each week. Some weeks I would take an extra day off just so they could get more hours. I felt bad for them. However; they usually ended up using their extra money to buy items from the store we worked at. In the end; they just took advantage of me.,,1,0,37,65,64,81,22,66,11,0,52,28,63,0,100,74,0,100,34,0,80,59,100,0,61,92,0,76,96,0,0,100,30,female,female,2,5,0,0,0,1,0,0,0,0,,It was hard to think of a situation where I had power over other people. I don't seek it out and generally don't use it if I do have it. I'm a fan of letting other people be in control of themselves.,,1,0
R_2Y4Cv8SqIL6zodr,24.159.101.173,0,0,7/14/15 7:37,7/14/15 7:47,0,1,0,0,I was in a beauty contest jury in school and I was evaluating the contestants. It felt good; I felt I was doing an important job and the girls were trying to win us over.,,1,0,60,28,60,7,33,34,4,0,0,0,15,0,63,32,26,54,13,0,21,10,57,0,0,88,23,27,54,5,8,81,36,female,female,3,5,0,0,0,1,0,0,0,0,,No.,I don't remember.,0,0
R_12iiiJTpHKqOA3H,24.107.32.201,0,0,8/13/15 19:26,8/13/15 19:33,0,1,0,0,I was in a position to tell someone to do what he wanted; knowing that he wanted to do what I wanted him to do. I feel I was in a position of power in that instance because he wanted to please me and do as I wished him to do.  I would have been angry with him had he gone ahead; but he chose to make me happy instead. ,,1,0,46,18,50,30,76,18,0,0,31,51,0,0,95,7,18,96,41,0,21,50,92,4,79,81,21,62,77,24,19,89,67,female,female,1,5,0,0,0,1,0,0,0,0,,I didn't really believe that the Pat; or whoever; that wrote that had that experience. ,I don't think so; but I did not believe the other person really had that experience.,0,1
R_3KMw8P99412COz7,69.147.204.238,0,0,8/13/15 19:39,8/13/15 19:50,0,1,0,0,I was recently in a situation in which I had implied power over a young person; namely whether/where she was going to go to college. It was a terrifying experience to know that someone's life path could be dependent upon my encouragement or discouragement; my enthusiasm or lack thereof. /  / I was (and am) the only person in her life with a college education. The other people in her life were doubtful about the likelihood of her success and not at all supportive. When I first realized the amount of power I had over her as a mentor and a friend; I was crippled by it. Terrified. I felt that if I couldn't offer completely objective advice; I shouldn't give any guidance at all. /  / It wasn't until I stepped back and realized that by being critical of my ability to be powerful; I was also disempowering this young person. I had power; yes; but more importantly; I had responsibility to open a window through which she may or may not have chosen to fly. It may be the only open window she would see in her lifetime -- a window out of a small life. /  / My young friend is now 1000 miles from home; enrolled at a university with a near full-ride scholarship. We are both terrified; but in a wonderful; enriching; powerful way.,,-1,0,15,8,49,7,0,8,29,0,8,0,99,0,100,100,0,100,54,0,90,76,100,0,61,0,72,55,0,75,17,4,31,Female,female,3,6,0,0,0,1,0,0,0,0,,The submission I read seemed a little farcical...,No,0,1
R_erqCXnZQLiEDPzP,66.226.255.2,0,0,8/13/15 19:17,8/13/15 19:25,0,1,0,0,I was the general manager for a Sonic Drive-In and I had control over the entire hiring and firing process. A boy I had hired and was fond of made a big mistake. We were running a special and it involved ice cream but the boy was telling the customers our machine wasn't working. I had to fire the boy and it was very hard to do because I knew he depended on the job to help his family. ,,1,0,4,2,36,2,0,2,3,1,2,4,10,3,99,66,100,100,99,4,80,57,99,0,64,32,0,98,34,50,50,50,28,female,female,2,3,0,0,0,1,0,0,0,0,,,no ,0,0
R_emM0LiSF6HywtBn,69.243.167.32,0,0,8/13/15 19:11,8/13/15 19:18,0,1,0,0,I was; at one time; in a grocery retail management position.  I was in charge of running operations of my department by making sure everyone worked well together; and separating those that didn't work together well; making sure daily duties were done in a timely manner; that all individuals were responsible for keeping their area for the day neat and tidy; and accounting for their till at the end of their shift.  Should these; or other responsibilities not be met to my satisfaction; they would be held accountable; up to and including termination should the actions no be corrected.,,-1,0,79,23,66,91,41,16,46,0,80,49,76,0,63,100,31,50,66,0,89,100,93,0,24,0,87,50,25,78,76,0,32,Female,female,NA,2,0,0,0,0,1,0,0,0,,No.,No.,0,0
R_11crQxTiRdLOkpa,23.243.72.67,0,0,8/13/15 19:32,8/13/15 19:44,0,1,0,0,My in-laws came from our native country to visit us and they had no clue about where to go or how to go about in the States. I had complete control over them. I drove them around and taught them how to take the bus just in case they got lost in the city.,,1,0,100,100,100,100,79,100,100,1,100,69,100,1,100,100,7,100,100,3,100,100,100,0,53,88,94,22,34,50,88,95,36,female,female,2,2,0,0,0,0,1,0,0,0,,,not at all.,0,0
R_1I4uCxQnCiHNRFc,168.24.9.239,0,0,7/14/15 8:25,7/14/15 8:34,0,1,0,0,My younger brother begged me to lend him $20 so he could take his girlfriend out to eat. If I didn't lend him the money; he would have to tell her they couldn't go out because he didn't have money; which would have been embarrassing for him. He and I don't get along; so I was really tempted not to lend him the money. Why should I lend him money if he's not responsible enough to manage his money? Would he really pay me back? If I lend him money now; won't he just ask again later? I was torn between those questions and the desire to be a good person and possibly improve our relationship. Plus; I knew lending him money would make my mother happy. ,,-1,0,100,7,100,81,76,1,51,0,6,5,83,0,23,100,25,13,100,0,100,89,100,0,0,0,100,23,28,100,100,0,26,Female,female,2,5,0,0,0,1,0,0,0,0,,No,Yes,0,0
R_2E5M0vwZBrexRDE,199.58.164.141,0,0,7/14/15 7:35,7/14/15 7:41,0,1,0,0,Oh; that's easy; every single time I reach one of these open-ended questions in studies and this happens a lot. The power is whether or not I will answer the question; particularly in enough detail to be sufficient for whatever the research is;  or whether I will just decide not to complete the study and return the HIT. There's power in that choice; ever single time.,,-1,0,100,0,100,10,32,0,0,0,0,0,17,0,42,77,52,41,17,0,80,7,71,0,56,42,56,66,40,16,11,0,52,female,female,3,5,0,0,0,1,0,0,0,0,,Thank you!,Not that I remember.,0,0
R_11iu5H4tZ6EfF8P,208.75.23.142,0,0,6/25/15 17:16,6/25/15 17:25,1,1,0,0,"This past weekend I volunteered to group lead a session of a youth group meeting at my church. By having this position I called the meeting to order and oversaw that all issues were discussed in the proper format and following the right protocols. I also had the authority to open discussions and call for a decision; while helping the younger kids facilitate the direction of the meeting. I felt very ""mature"" in this position as these were all kids I knew; and knew me; and they had to ""look up to me"" in a way during the meeting. I felt in control of the situation and was confident in my abilities to do things in the right way. ",,1,0,25,0,0,0,0,25,0,0,0,0,25,0,97,16,0,96,0,0,15,0,96,50,70,51,8,67,54,50,11,70,20,female,female,6,3,0,0,0,1,0,0,0,0,,,,0,0
R_2V9C7TIcSlu0GhM,97.90.169.117,0,0,7/14/15 7:29,7/14/15 7:38,0,1,0,0,When I was a General manager ; one of my responsibilities was to  make the schedule and put in for any promotions of those i felt responsible enough for it. I sometimes felt awkward especially when they would ask for time off and if I could not accomodate. ,,-1,0,75,0,79,47,60,0,30,0,46,21,43,0,9,100,44,29,54,0,89,73,65,0,77,50,82,69,17,68,89,20,39,female,female,2,3,0,0,0,1,0,0,0,0,,,no,0,0
R_1M4ILrj3FpiXmxC,173.21.62.176,0,0,7/14/15 7:22,7/14/15 7:26,0,1,0,0,When I was an HR manager at work I had power over the hiring and firing. When I hired J I had complete power over him at that point and the situation at the time. It felt great. I liked being in charge. I liked being able to make the decisions.,,1,0,4,0,0,0,0,0,0,0,0,0,6,0,33,40,0,29,11,0,67,40,75,12,43,60,10,47,52,21,13,58,25,female,female,1,3,0,0,0,1,0,0,0,0,,no,no,0,0
R_1g796r6Og2ZBC9l,184.20.194.62,0,0,7/10/15 4:13,7/10/15 4:17,0,1,0,0,Whenever I work in a group; I'm almost always the leader. That means that I get to hand out responsibility to the other group members and make sure that they're all doing their assigned tasks. I would much rather be in charge; because other people attempt to take control and then do nothing. They just let people do whatever and nothing gets done on time and it's a rush at the end to finish everything up.,,1,0,0,0,0,0,8,0,0,0,0,0,0,0,52,0,0,51,0,0,0,0,31,0,50,81,18,50,74,0,0,0,29,female,female,1,5,0,0,0,1,0,0,0,0,,It was an ok HIT.,That prompt comes up a lot.,1,0
R_2thC0gAfB927EZQ,69.92.63.124,0,0,7/9/15 22:36,7/9/15 22:39,0,-1,0,0,,A situation where someone had power over me was during my last employee evaluation. I felt powerless as I did not truly have influence on my report.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,52,50,50,50,50,50,50,50,28,Female,female,5,5,0,0,1,0,0,0,0,0,,,,0,0
R_3nUzSWQlLBOxRps,134.228.197.27,0,0,7/9/15 22:36,7/9/15 22:41,0,NA,0,0,,,1,0,40,26,33,3,0,9,3,0,0,0,13,0,100,25,0,63,26,0,13,0,100,7,70,59,34,54,59,0,0,75,32,female,female,1,5,0,0,0,1,0,0,0,0,,,no,0,0
R_2rIAgz8zD3BopW0,50.129.252.99,0,0,7/9/15 22:36,7/9/15 22:44,0,-1,0,0,,There was a time an employer didn't want to pay for work I had done.  It was quite upsetting. He thought he could get away with it but I proved that I was willing to take legal action.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,29,female,female,1,5,0,0,1,0,0,0,0,0,,This hit is broken.  Pat's experience did not show up.  It only showed questions about her experience but did not show her actual experience.  You should fix this as it will harm your data collection.,,0,0
R_YRLWUROToUto6vn,32.213.103.247,0,0,7/9/15 22:38,7/9/15 22:41,0,NA,0,0,,,-1,0,81,0,87,21,75,0,0,0,39,0,0,0,42,100,18,44,54,0,100,83,100,0,0,50,100,0,0,100,100,0,35,Female,female,5,5,0,0,0,1,0,0,0,0,,No,No,0,0
R_2w62GlNbXdtVuvk,74.11.38.118,0,0,7/9/15 22:45,7/9/15 22:50,0,NA,0,0,,,1,0,94,14,60,22,28,3,1,1,9,1,0,1,85,54,5,63,22,1,62,80,62,3,44,92,52,76,76,45,64,96,38,Female,female,5,5,0,0,0,0,0,0,0,1,South Asian,N/A,N/A,0,0
R_2BhbEZpflsAllNV,97.82.41.99,0,0,7/9/15 22:52,7/9/15 22:54,0,NA,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,50,50,50,50,50,50,50,50,50,23,FEMALE,female,1,2,0,0,0,1,0,0,0,0,,,,0,0
R_2zMwyyarOPGfZ62,24.149.107.214,0,0,7/9/15 22:52,7/9/15 22:55,0,NA,0,0,,,1,0,0,100,0,100,0,100,100,0,100,100,100,0,100,100,0,100,100,0,100,100,100,0,87,15,0,97,7,0,0,11,31,female,female,4,4,0,0,0,1,0,0,0,0,,No; everything worked perfectly and was easy to understand.,Yes; I have done HITs where I have judged scenarios before.,0,0
